Picture Name,Label,N=3,N=5,N=11,N=21,,
01209,Central Library of the University Politehnica Timisoara,0.5,0.5,0.416667,0.416667,,
01210,Central Library of the University Politehnica Timisoara,1,0.7,0.7,0.7,,
01301,INCUBOXX,0,0,0,0,,
01302,INCUBOXX,0,0,0,0,,
01303,INCUBOXX,0,0,0,0,,
01401,Agrarian Bank Palace,0,0,0,0,,
01402,Agrarian Bank Palace,0,0,0,0.0526316,,
01403,Agrarian Bank Palace,0,0,0,0,,
01404,Agrarian Bank Palace,1,1,1,0.571429,,
01405,Agrarian Bank Palace,0,0,0,0,,
01406,Agrarian Bank Palace,1,1,1,0.552632,,
01407,Agrarian Bank Palace,0.5,0.5,0.361111,0.303241,,
01408,Agrarian Bank Palace,0,0,0,0,,
01409,Agrarian Bank Palace,0.333333,0.333333,0.333333,0.333333,,
01410,Agrarian Bank Palace,0,0,0,0,,
01411,Agrarian Bank Palace,0,0,0.111111,0.111111,,
01412,Agrarian Bank Palace,0,0,0,0,,
01413,Agrarian Bank Palace,0.333333,0.416667,0.416667,0.333333,,
01501,Huniade Castle,0,0,0,0,,
01502,Huniade Castle,1,1,1,0.558824,,
01504,Huniade Castle,0,0,0,0,,
01506,Huniade Castle,0,0,0.1,0.1,,
01507,Huniade Castle,0.5,0.5,0.5,0.308824,,
01601,Nativity Church,0,0,0,0,,
01602,Nativity Church,0,0,0,0,,
01603,Nativity Church,0,0,0,0,,
01604,Nativity Church,0,0,0.111111,0.111111,,
01605,Nativity Church,0.5,0.5,0.5,0.5,,
01606,Nativity Church,1,1,1,0.55,,
01607,Nativity Church,0.5,0.5,0.5,0.5,,
01701,Palace of the Serbian Fabric Community,0,0,0.166667,0.160256,,
01702,Palace of the Serbian Fabric Community,1,1,1,0.5625,,
01703,Palace of the Serbian Fabric Community,0,0,0.166667,0.166667,,
01704,Palace of the Serbian Fabric Community,0,0.2,0.2,0.2,,
01705,Palace of the Serbian Fabric Community,0,0,0,0,,
01706,Palace of the Serbian Fabric Community,0,0,0,0,,
01707,Palace of the Serbian Fabric Community,0,0,0.111111,0.111111,,
01708,Palace of the Serbian Fabric Community,1,1,1,1,,
01709,Palace of the Serbian Fabric Community,0,0,0,0,,
01710,Palace of the Serbian Fabric Community,0,0,0.111111,0.108187,,
01711,Palace of the Serbian Fabric Community,0,0,0,0.0838816,,
01712,Palace of the Serbian Fabric Community,0,0,0,0.0588235,,
01713,Palace of the Serbian Fabric Community,0,0,0,0,,
01801,Serbian Church of Fabric Community,0,0,0,0,,
01802,Serbian Church of Fabric Community,0,0,0,0,,
01803,Serbian Church of Fabric Community,0,0,0,0,,
01804,Serbian Church of Fabric Community,0,0,0,0.0588235,,
01805,Serbian Church of Fabric Community,0.333333,0.333333,0.333333,0.333333,,
01806,Serbian Church of Fabric Community,0,0.2,0.2,0.2,,
01807,Serbian Church of Fabric Community,0,0,0,0,,
01808,Serbian Church of Fabric Community,0,0,0,0,,
01809,Serbian Church of Fabric Community,0,0.2,0.2,0.2,,
01810,Serbian Church of Fabric Community,0,0,0.125,0.125,,
01811,Serbian Church of Fabric Community,0.333333,0.333333,0.266667,0.266667,,
01901,Hause of the Canonic,0,0,0,0,,
01902,Hause of the Canonic,0,0,0,0,,
01903,Hause of the Canonic,0,0,0,0,,
01904,Hause of the Canonic,0.333333,0.333333,0.333333,0.333333,,
01905,Hause of the Canonic,0,0,0.142857,0.142857,,
01906,Hause of the Canonic,0,0,0.166667,0.145833,,
01907,Hause of the Canonic,0,0,0.1,0.1,,
01908,Hause of the Canonic,0,0,0,0,,
01909,Hause of the Canonic,0.5,0.5,0.5,0.5,,
01910,Hause of the Canonic,1,1,1,1,,
01911,Hause of the Canonic,0,0,0,0,,
02001,Prenner Hause,0,0,0,0,,
02002,Prenner Hause,0,0,0,0,,
02003,Prenner Hause,0,0,0.142857,0.142857,,
02004,Prenner Hause,0,0,0,0,,
02005,Prenner Hause,0,0,0,0,,
02006,Prenner Hause,0,0,0,0,,
02007,Prenner Hause,0,0,0,0,,
02008,Prenner Hause,0,0,0,0,,
02009,Prenner Hause,0,0,0,0,,
02010,Prenner Hause,0,0,0,0,,
02011,Prenner Hause,0,0,0,0.0666667,,
02012,Prenner Hause,0,0,0,0,,
02101,Agoston Galgon Hause,0.5,0.5,0.5,0.5,,
