Picture Name,Label,N=3,N=5,N=11,N=21,,
00512,Bruck House,0,0,0.142857,0.142857,,
00513,Bruck House,0,0,0,0,,
00514,Bruck House,0,0,0,0,,
00601,Swabian Bank,0,0,0,0,,
00602,Swabian Bank,0,0,0,0,,
00603,Swabian Bank,0,0,0,0,,
00604,Swabian Bank,0,0,0,0,,
00605,Swabian Bank,0,0,0,0.05,,
00606,Swabian Bank,0,0,0,0,,
00607,Swabian Bank,0,0,0,0,,
00608,Swabian Bank,0,0,0,0,,
00609,Swabian Bank,0,0,0,0.0769231,,
00610,Swabian Bank,0,0,0,0,,
00611,Swabian Bank,0,0.25,0.25,0.25,,
00612,Swabian Bank,0,0,0,0,,
00701,Serbian Orthodox Episcopal Palace,0.5,0.5,0.5,0.5,,
00702,Serbian Orthodox Episcopal Palace,0.333333,0.333333,0.333333,0.333333,,
00703,Serbian Orthodox Episcopal Palace,0,0,0,0.047619,,
00704,Serbian Orthodox Episcopal Palace,0,0,0,0.05,,
00705,Serbian Orthodox Episcopal Palace,0.5,0.5,0.5,0.267157,,
00706,Serbian Orthodox Episcopal Palace,0,0,0,0,,
00707,Serbian Orthodox Episcopal Palace,0,0,0,0,,
00708,Serbian Orthodox Episcopal Palace,0.583333,0.583333,0.583333,0.583333,,
00709,Serbian Orthodox Episcopal Palace,0,0.2,0.2,0.2,,
00710,Serbian Orthodox Episcopal Palace,0,0,0,0,,
00711,Serbian Orthodox Episcopal Palace,0,0,0,0.0625,,
00712,Serbian Orthodox Episcopal Palace,0.5,0.5,0.5,0.5,,
00713,Serbian Orthodox Episcopal Palace,1,0.7,0.633333,0.633333,,
00714,Serbian Orthodox Episcopal Palace,0.833333,0.833333,0.833333,0.833333,,
00801,Iosefin Synagogue,1,1,1,1,,
00802,Iosefin Synagogue,1,1,1,1,,
00803,Iosefin Synagogue,0,0,0,0,,
00804,Iosefin Synagogue,0.333333,0.333333,0.333333,0.333333,,
00805,Iosefin Synagogue,0,0,0,0,,
00901,Reformed Church,0,0,0,0,,
00902,Reformed Church,0.833333,0.833333,0.833333,0.833333,,
00903,Reformed Church,1,1,1,0.558824,,
00904,Reformed Church,0.5,0.5,0.5,0.3,,
00905,Reformed Church,0,0,0,0,,
00906,Reformed Church,0,0,0,0,,
